S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS1	mlp	-Inf	1	0.72957264957265	0.5
SBS1	mlp	0.6691524	0.816541705716963	0.900051652892562	0.9
SBS2.13	mlp	-Inf	1	0.662820512820513	0.5
SBS2.13	mlp	-0.6927117	0.90535138620245	0.900012818869376	0.9
SBS3	mlp	-0.80504256	0.576717811874583	0.500144634075788	0.5
SBS3	mlp	1.9610416	0.0503669112741828	0.904191616766467	0.9
SBS4	mlp	-1.7688556	0.743562231759657	0.500180440274269	0.5
SBS4	mlp	0.33139992	0.469957081545064	0.900308324768756	0.9
SBS16	cnn	-1.2410448	0.648042823686852	0.50012909888975	0.5
SBS16	cnn	0.33854675	0.21344931415189	0.901129943502825	0.9
SBS17	mlp	-1.9622908	0.795	0.500524658971668	0.5
SBS17	mlp	1.2205951	0.435	0.903114186851211	0.9
SBS18	mlp	-Inf	1	0.501965811965812	0.5
SBS18	mlp	0.9987025	0.38481185084284	0.900039824771008	0.9
SBS31	mlp	-1.4309156	0.446656050955414	0.500446030330062	0.5
SBS31	mlp	0.32113636	0.164012738853503	0.903508771929825	0.9
SBS44	mlp	-43.455437	1	0.50251256281407	0.5
SBS44	mlp	-10.336966	1	0.900900900900901	0.9
SBS88	mlp	-3.1479256	0.99	0.575581395348837	0.5
SBS88	mlp	-1.132798	0.97	0.906542056074766	0.9
