,0
0,0.8269022107124329
1,0.834126353263855
2,0.837381899356842
3,0.8401922583580017
4,0.842654824256897
5,0.8436495661735535
6,0.8439452052116394
7,0.8446582555770874
8,0.8456912636756897
9,0.8456181883811951
10,0.8460147380828857
11,0.8466373085975647
12,0.8467034101486206
13,0.847865104675293
14,0.8473816514015198
15,0.8485259413719177
16,0.8486059308052063
17,0.848713755607605
18,0.8484981060028076
19,0.8489294052124023
20,0.8492250442504883
21,0.849753737449646
22,0.8501015901565552
23,0.8502302765846252
24,0.8498094081878662
25,0.8507311344146729
26,0.8508667349815369
27,0.8507798314094543
28,0.851214587688446
29,0.8515310883522034
30,0.8517988920211792
31,0.8522232174873352
32,0.8516841530799866
33,0.8523414731025696
34,0.8522232174873352
35,0.8529571294784546
36,0.8527414798736572
37,0.8533501625061035
38,0.8537918925285339
39,0.8540040850639343
40,0.854438841342926
41,0.8536840677261353
42,0.8539866805076599
43,0.8539831638336182
44,0.8548423051834106
45,0.8553223013877869
46,0.8549709916114807
47,0.8553083539009094
48,0.8554092645645142
49,0.8559901118278503
