S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS1	mlp	-Inf	1	0.637898594990837	0.5
SBS1	mlp	1.5313518	0.497136673561633	0.900001733673133	0.9
SBS2.13	mlp	-1.0798062	0.800027228348601	0.500006077623406	0.5
SBS2.13	mlp	0.99204314	0.281327187506078	0.900012444001991	0.9
SBS3	mlp	-0.5434127	0.218363835445018	0.500089557585528	0.5
SBS3	mlp	3.7981427	0.00961989676208353	0.904411764705882	0.9
SBS5	mlp	-Inf	1	0.954050091631032	0.5
SBS5	mlp	-Inf	1	0.954050091631032	0.9
SBS6	mlp	-1.4763472	0.825	0.501519756838906	0.5
SBS6	mlp	1.9113004	0.505	0.901785714285714	0.9
SBS17	mlp	-1.8794401	0.33622641509434	0.500140331181589	0.5
SBS17	mlp	-0.015023708	0.155094339622642	0.900328587075575	0.9
SBS18	mlp	0.5133084	0.280808080808081	0.501805054151625	0.5
SBS18	mlp	3.3667188	0.0747474747474747	0.902439024390244	0.9
SBS22	mlp	-2.8078828	0.829243353783231	0.500308451573103	0.5
SBS22	mlp	-0.61531067	0.774028629856851	0.900118906064209	0.9
SBS26	mlp	-1.9643964	1	0.8	0.5
SBS26	mlp	-1.09873	1	0.900900900900901	0.9
SBS31	mlp	-1.9446566	0.926	0.500540540540541	0.5
SBS31	mlp	0.4241891	0.85	0.900423728813559	0.9
SBS44	mlp	-4.0222363	0.917777777777778	0.50030284675954	0.5
SBS44	mlp	-3.531063	0.845555555555556	0.900591715976331	0.9
