S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS1	mlp	-Inf	1	0.64091849935317	0.5
SBS1	mlp	0.08593911	0.768463758755021	0.900004727908846	0.9
SBS2.13	cnn	-2.4379652	0.605744125326371	0.501079913606911	0.5
SBS2.13	cnn	-0.88565737	0.553524804177546	0.902127659574468	0.9
SBS3	mlp	-1.1555724	0.966930948024666	0.500008760402979	0.5
SBS3	mlp	1.3172698	0.0546520295453005	0.900111607142857	0.9
SBS4	mlp	4.8277655	1	0.996677740863787	0.5
SBS4	mlp	4.8277655	1	0.996677740863787	0.9
SBS5	mlp	-Inf	1	0.635187580853816	0.5
SBS5	mlp	1.3259258	0.29867617107943	0.90002454891371	0.9
SBS6	mlp	-3.8208427	1	0.630914826498423	0.5
SBS6	mlp	-1.3066046	1	0.900900900900901	0.9
SBS7	mlp	-6.3676753	1	0.500834724540901	0.5
SBS7	mlp	-4.158898	1	0.993377483443709	0.9
SBS8	mlp	-Inf	1	0.62404915912031	0.5
SBS8	mlp	0.5754924	0.72082754617633	0.900012941633234	0.9
SBS11	mlp	-56.023083	1	0.500192381685264	0.5
SBS11	mlp	-4.0948644	1	0.987091875474563	0.9
SBS14	mlp	-43.233112	1	0.500500500500501	0.5
SBS14	mlp	-38.724354	1	0.900900900900901	0.9
SBS17	mlp	-3.7570388	1	0.826446280991736	0.5
SBS17	mlp	-2.7441921	1	0.900900900900901	0.9
SBS18	cnn	-1.6884881	0.284320323014805	0.50009863878477	0.5
SBS18	cnn	-0.5108553	0.0123373710183939	0.901639344262295	0.9
SBS26	mlp	-4.3108945	0.98	0.502564102564103	0.5
SBS26	mlp	-2.2764072	0.96	0.905660377358491	0.9
SBS120	mlp	-Inf	1	0.622936610608021	0.5
SBS120	mlp	1.387116	0.415342761614022	0.900009000090001	0.9
