,0
0,0.9379634857177734
1,0.9419355392456055
2,0.9424468278884888
3,0.9432780742645264
4,0.9435528516769409
5,0.9437685012817383
6,0.9440885186195374
7,0.9444467425346375
8,0.944589376449585
9,0.9446728229522705
10,0.9451041221618652
11,0.9451145529747009
12,0.9455284476280212
13,0.9456015229225159
14,0.9454345703125
15,0.945956289768219
16,0.9459736943244934
17,0.9458206295967102
18,0.9461128115653992
19,0.9464084506034851
20,0.9465058445930481
21,0.9466692805290222
22,0.9467319250106812
23,0.9467458128929138
24,0.9468606114387512
25,0.947093665599823
26,0.9473893046379089
27,0.9475144743919373
28,0.9475945234298706
29,0.9474031925201416
30,0.9478553533554077
31,0.9475284218788147
32,0.9476988315582275
33,0.9480918645858765
34,0.9481683969497681
35,0.9483457803726196
36,0.9484223127365112
37,0.9487040638923645
38,0.9488779306411743
39,0.9491909742355347
40,0.949086606502533
41,0.9490170478820801
42,0.9493823051452637
43,0.949410080909729
44,0.9497196674346924
45,0.9495909810066223
46,0.9497266411781311
47,0.9498413801193237
48,0.9500361680984497
49,0.9498448967933655
