,0
0,0.7877485156059265
1,0.7943570017814636
2,0.7966943383216858
3,0.7997099161148071
4,0.8005481362342834
5,0.803654134273529
6,0.8054488897323608
7,0.8054280281066895
8,0.8075531721115112
9,0.8089096546173096
10,0.8091983795166016
11,0.8093792200088501
12,0.8105826377868652
13,0.8109235167503357
14,0.8105687499046326
15,0.8119148015975952
16,0.8125860691070557
17,0.8128225803375244
18,0.8131321668624878
19,0.8134625554084778
20,0.8133756518363953
21,0.814985990524292
22,0.8150173425674438
23,0.814947783946991
24,0.8153234124183655
25,0.8156781792640686
26,0.8163285851478577
27,0.8164816498756409
28,0.8164677023887634
29,0.8169546723365784
30,0.8174485564231873
31,0.818203330039978
32,0.8173824548721313
33,0.817392885684967
34,0.8175702691078186
35,0.8178137540817261
36,0.8184258937835693
37,0.8182867765426636
38,0.818919837474823
39,0.8182520270347595
40,0.8187320232391357
41,0.8197232484817505
42,0.8201267719268799
43,0.8194902539253235
44,0.8198450207710266
45,0.8199006915092468
46,0.82025545835495
47,0.8208710551261902
48,0.8207353949546814
49,0.8209719657897949
