S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS1	mlp	-1.5895252	0.874185667752443	0.500016635060053	0.5
SBS1	mlp	1.0633688	0.562878082829223	0.900018601190476	0.9
SBS2.13	mlp	-2.2113762	0.790024493431307	0.500070472163495	0.5
SBS2.13	mlp	-0.41284883	0.424627031841461	0.900377714825307	0.9
SBS4	cnn	-7.777597	1	0.50125313283208	0.5
SBS4	cnn	-3.921268	1	0.900900900900901	0.9
SBS5	mlp	-0.47999167	0.0143626570915619	0.533333333333333	0.5
SBS5	mlp	Inf	0	NA	0.9
SBS6	mlp	-2.9115953	1	0.50251256281407	0.5
SBS6	mlp	-1.41291	0.95	0.904761904761905	0.9
SBS7	mlp	-Inf	1	0.855045592705167	0.5
SBS7	mlp	-3.0394206	0.99379687888806	0.900008048289738	0.9
SBS8.23	mlp	0.27953196	0.0805369127516778	0.51063829787234	0.5
SBS8.23	mlp	2.0744896	0.0167785234899329	1	0.9
SBS17	mlp	-1.8619845	0.769703108185098	0.500020561746926	0.5
SBS17	mlp	-0.07470763	0.44628726973476	0.900038299502106	0.9
SBS18	mlp	-1.5522208	0.0914020139426801	0.502127659574468	0.5
SBS18	mlp	Inf	0	NA	0.9
SBS38	mlp	-1.803718	0.703947368421053	0.500048680751631	0.5
SBS38	mlp	0.6977868	0.349780701754386	0.900176366843033	0.9
SBS96	mlp	-5.8325653	1	0.784313725490196	0.5
SBS96	mlp	-4.352335	1	0.900900900900901	0.9
